rawMtrl,allergy,isCrossReact,probablility
국산콩두유액,대두,false,null
홍콩치킨베터,대두,false,null
커피땅콩분태,대두,false,null
동결건조검정콩,대두,false,null
콩비지,대두,false,null
조미콩단백분,대두,false,null
검정콩가루,대두,false,null
콩나물,대두,false,null
땅콩함유,대두,false,null
볶음땅콩반태,대두,false,null
냉동콩국물,대두,false,null
국산검은콩,대두,false,null
볶음렌틸콩분말,대두,false,null
탈지땅콩분말,대두,false,null
콩나물엑기스분말,대두,false,null
콩고물향,대두,false,null
열풍병아리콩,대두,false,null
국산콩,대두,false,null
약콩분말,대두,false,null
콩코드포도농축액,대두,false,null
검정콩고형분,대두,false,null
꿀탕콩,대두,false,null
볶은렌틸콩분말,대두,false,null
그린콩,대두,false,null
검정콩볶은분말,대두,false,null
쥐눈이콩,대두,false,null
흰강낭콩,대두,false,null
볶은콩향오일,대두,false,null
자연숙성콩발효액깊은맛,대두,false,null
자연숙성콩발효액,대두,false,null
홀레드렌틸콩분말,대두,false,null
로거스트콩검,대두,false,null
땅콩반태,대두,false,null
검은콩,대두,false,null
콩고물아몬드,대두,false,null
스키피땅콩버터크리미,대두,false,null
콩나물잡채,대두,false,null
검은콩보리밥,대두,false,null
로커스콩검,대두,false,null
강낭콩설기,대두,false,null
콩코드포도과즙으로,대두,false,null
그린콩씨,대두,false,null
리마콩,대두,false,null
이집트콩,대두,false,null
볶은콩초코코팅,대두,false,null
콩단백,대두,false,null
베베콩고기,대두,false,null
검은콩추출농축액,대두,false,null
볶음땅콩분태,대두,false,null
볶은검은콩분말,대두,false,null
식물성콩발효액,대두,false,null
볶은검정콩가루,대두,false,null
땅콩크림,대두,false,null
땅콩버터,대두,false,null
땅콩분태,대두,false,null
땅콩알갱이,대두,false,null
땅콩전지분,대두,false,null
볶음콩분말,대두,false,null
볶음콩가루분말,대두,false,null
콩나물장국분,대두,false,null
완두콩플레이크,대두,false,null
꿀땅콩,대두,false,null
발아강낭콩,대두,false,null
발효렌틸콩볶음분말,대두,false,null
볶음콩베이스,대두,false,null
강낭콩배기,대두,false,null
콩나물엑기스,대두,false,null
국산콩생나또,대두,false,null
천연땅콩향,대두,false,null
로스트콩검,대두,false,null
찹쌀땅콩,대두,false,null
콩국물,대두,false,null
입힘땅콩,대두,false,null
렌틸콩,대두,false,null
콩단백발효액,대두,false,null
땅콩밀키,대두,false,null
울타리콩,대두,false,null
콩메주,대두,false,null
당코팅땅콩조각,대두,false,null
검정약콩,대두,false,null
땅콩페이스트,대두,false,null
검정콩분말,대두,false,null
커피땅콩,대두,false,null
유기농콩코드포도농축액,대두,false,null
렌틸콩볶음분말,대두,false,null
국산약콩,대두,false,null
풋콩,대두,false,null
동부콩,대두,false,null
콩분말,대두,false,null
날콩,대두,false,null
국산콩발효액,대두,false,null
두부,대두,false,null
두부코코넛가츠,대두,false,null
리얼탱탱두부,대두,false,null
마파두부소스,대두,false,null
진두부순대양념,대두,false,null
가공두부,대두,false,null
담백한두부덮밥,대두,false,null
두부카츠,대두,false,null
동결건조두부,대두,false,null
두부코코넛치킨까스,대두,false,null
두부적네모떡갈비,대두,false,null
햇살콩국산두부,대두,false,null
두부판자넬라샐러드믹스,대두,false,null
두부응고제,대두,false,null
동결건조두부디이스,대두,false,null
순두부,대두,false,null
연두부,대두,false,null
두부코코넛돈까스,대두,false,null
건조조미유부,대두,false,null
조미유부,대두,false,null
건조조미유부,대두,false,null
유부초밥조미볶음,대두,false,null
유부,대두,false,null
고단백건조유부,대두,false,null
유부조미액,대두,false,null
유부조미액베이스,대두,false,null
조미유부,대두,false,null
갈비본살,null,0,null
돼지고기목살,null,0,null
돼지고기,null,0,null
돼지고기등심,null,0,null
돼지고기용양념소스,null,0,null
돼지고기뒷다리,null,0,null
무항생제돼지고기,null,0,null
돼지고기안심,null,0,null
제주산흑돼지고기,null,0,null
다진돼지고기,null,0,null
돼지고기목뼈,null,0,null
수입냉동돼지고기,null,0,null
냉동돼지고기,null,0,null
돼지고기지방,null,0,null
국산돼지고기,null,0,null
돼지고기삼겹살,null,0,null
돼지고기베이스,null,0,null
돼지고기정육,null,0,null
유기농돼지고기,null,0,null
돼지고기갈비살,null,0,null
돼지불고기,null,0,null
돼지목심살,null,0,null
돼지고기목살,null,0,null
소들녘돼지양념소스,null,0,null
돼지감자과즙농축액,null,0,null
돼지고기,null,0,null
돼지곱창,null,0,null
돼지고기등심,null,0,null
돼지갈매기살,null,0,null
돼지삼겹,null,0,null
돼지고기용양념소스,null,0,null
돼지정육,null,0,null
돼지고기뒷다리,null,0,null
돼지머리고기,null,0,null
흑돼지,null,0,null
돼지껍데기,null,0,null
양념돼지불고기,null,0,null
삶은돼지곱창,null,0,null
무항생제돼지고기,null,0,null
돼지등뼈추출물,null,0,null
돼지갈비양념장,null,0,null
돼지소창,null,0,null
돼지고기안심,null,0,null
삶은돼지막창,null,0,null
흑돼지구이용,null,0,null
돼지지육,null,0,null
양념소스돼지장,null,0,null
돼지갈비,null,0,null
돼지장족,null,0,null
유기농돼지감자농축액,null,0,null
제주산흑돼지고기,null,0,null
돼지지방,null,0,null
돼지,null,0,null
다진돼지고기,null,0,null
돼지갈비살,null,0,null
돼지앞다리,null,0,null
돼지감자분말,null,0,null
돼지고기목뼈,null,0,null
돼지감자농축액,null,0,null
돼지간,null,0,null
돼지오돌뼈,null,0,null
돼지등갈비,null,0,null
돼지소장,null,0,null
수입냉동돼지고기,null,0,null
돼지족,null,0,null
돼지족발,null,0,null
냉동돼지고기,null,0,null
돼지껍질,null,0,null
돼지뼈추출물,null,0,null
돼지갈비양념,null,0,null
꿀맛돼지갈비장,null,0,null
